file,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF DEVELOPMENT ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF ECONOMIC THEORY,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,JOURNAL OF POLITICAL ECONOMY,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,QUANTITATIVE ECONOMICS,QUARTERLY JOURNAL OF ECONOMICS,RAND JOURNAL OF ECONOMICS,REVIEW OF ECONOMIC STUDIES,REVIEW OF ECONOMICS AND STATISTICS,THEORETICAL ECONOMICS,name,promotion_university,promotion_year,years_post_phd,unresolved_count,unresolved_fields,unresolved_details,needs_review
Georgia/full/SkiraCV.docx,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meghan M. Skira,University of Georgia,2018,6,0,,{},0
Georgia/full/gervais_cv_20230622.docx,0,0,0,0,1,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,Martin Gervais,University of Southampton,2007,8,0,,{},0
Georgia/full/vita_cornwell.docx,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,Christopher M. Cornwell,University of Georgia,1994,9,0,,{},0
Georgia/full/vita_lastrapes.docx,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,William D. Lastrapes,University of Georgia,1994,8,0,,{},0
Houston/associate/FanWangCV.docx,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fan Wang,University of Houston,2022,7,0,,{},0
Houston/associate/cv_2024_dec_szabo.docx,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Andrea Szabo,University of Houston,2017,7,0,,{},0
Houston/associate/cv_Oct2024_Cubas.docx,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,German Cubas,University of Houston,2019,9,0,,{},0
Houston/associate/cv_paluszynski.docx,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Radek Paluszynski,University of Houston,2023,7,0,,{},0
Houston/associate/cv_willafriedman.docx,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Willa Friedman,University of Houston,2023,10,0,,{},0
Houston/full/CV_Jan2025_Sorensen.docx,0,0,2,0,1,0,1,0,0,3,0,5,0,1,1,0,1,1,1,0,0,3,0,Bent E. Sørensen,Binghamton University,2001,11,0,,{},0
Houston/full/CV_Juhn_February_2021.docx,0,0,0,0,3,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,1,0,Chinhui Juhn,University of Houston,1996,5,0,,{},0
Houston/full/CV_gergely.docx,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,Gergely Ujhelyi,University of Houston,2014,7,0,,{},0
Houston/full/JanetKohlhase_CV_Aug_2024_for_web.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Janet E. Kohlhase,University of Houston,1990,10,0,,{},0
Houston/full/Vita_2025_June_Craig.docx,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,Steven G. Craig,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Houston/full/achin_cv.docx,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,2,0,Aimee Chin,University of Houston,2007,6,0,,{},0
Houston/full/cv_maheshri.docx,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,Vikram Maheshri,University of Houston,2018,8,0,,{},0
Houston/full/cv_vollrath.docx,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Dietrich E. Vollrath,University of Houston,2011,6,0,,{},0
Houston/full/vita_papell.docx,0,0,0,0,2,0,0,2,2,0,0,7,0,3,0,0,0,0,0,0,0,4,0,David H. Papell,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Indiana Bloomington/associate/BulentGuler_CV.docx,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Bulent Guler,Indiana University,2016,7,0,,{},0
Indiana Bloomington/associate/CV_Avoyan.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ala Avoyan,Indiana University,2025,7,0,,{},0
Indiana Bloomington/associate/CV_Lashkaripour.docx,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,Ahmad Lashkaripour,"Indiana University, Bloomington",2022,8,0,,{},0
Indiana Bloomington/associate/CV_RULIXIAO.docx,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruli Xiao,Indiana University,2021,7,0,,{},0
Indiana Bloomington/associate/CV_mostafa.docx,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,Indiana University,2019,11,1,name,"{""name"": ""insufficient_support""}",1
Indiana Bloomington/associate/cv_gustavo_torrens_september_2022.docx,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Gustavo Federico Torrens,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Indiana Bloomington/associate/cv_melo_emerson.docx,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Emerson Melo,Indiana University Bloomington,2022,9,0,,{},0
Indiana Bloomington/full/CV_Lugovskyy.docx,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Volodymyr Lugovskyy,Indiana University,2017,13,0,,{},0
Indiana Bloomington/full/VITA_25_11.docx,0,0,0,0,1,1,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,Daniela Puzzello,University of Illinois at Urbana-Champaign,2010,5,0,,{},0
Indiana Bloomington/full/Walker_CV_November2025.docx,0,1,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,Todd B. Walker,Indiana University,2013,7,0,,{},0
Indiana Bloomington/full/alexeev_cv_dec_2023.docx,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,Michael V. Alexeev,George Mason University,1990,6,0,,{},0
Indiana Bloomington/full/chang-cv.docx,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,1,0,0,Yoosoon Chang,Rice University,2002,7,0,,{},0
Indiana Bloomington/full/james-walker-cv-september-2025.docx,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,James M. Walker,Indiana University,1987,9,0,,{},0
Indiana Bloomington/full/lueck-cv.docx,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Dean Lueck,Montana State University,1997,10,0,,{},0
Indiana Bloomington/full/park-cv.docx,0,0,0,0,0,5,1,1,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,Joon Y. Park,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Indiana Bloomington/full/xu-cv.docx,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Ke-Li Xu,Texas A&M University,2012,5,0,,{},0
Iowa State/associate/Bunzel_H_2024_CV.docx,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Helle Bunzel,Iowa State University,2006,7,0,,{},0
Iowa State/associate/Li_J_2025 CV.docx,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,Jian LI,Iowa State University,2023,11,0,,{},0
Iowa State/associate/Turhan_CV_0.docx,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bertan Turhan,Iowa State University,2023,8,0,,{},0
Iowa State/associate/Zhylyevskyy_O_2024CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Oleksandr Zhylyevskyy,Iowa State University,2014,6,0,,{},0
Iowa State/full/20250701_Rosenbloom_CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joshua L. Rosenbloom,University of Kansas,1994,6,0,,{},0
Iowa State/full/CV-jmc-current.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John M. Crespi,Kansas State University,2005,5,0,,{},0
Iowa State/full/Cordoba_CV_September_2025.docx,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,1,0,0,0,2,0,1,Juan Carlos Cordoba,Iowa State University,2009,8,0,,{},0
Iowa State/full/Hart_C_2025Vita.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad E. Hart,Iowa State University,2012,13,0,,{},0
Iowa State/full/John Winters CV August 2025.docx,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,John V. Winters,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Iowa State/full/Lence_S_2025CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sergio H. Lence,Iowa State University,2003,,1,years_post_phd,"{""years_post_phd"": ""tie""}",1
Iowa State/full/LongVitae1.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Quinn Rone Arthur Weninger,Iowa State University,2003,8,0,,{},0
Iowa State/full/Moschini-CV-June 2025-short.docx,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,GianCarlo Moschini,Iowa State University,1991,5,0,,{},0
Iowa State/full/ORAZEM.docx,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,Peter Francis Orazem,Iowa State University,1988,5,0,,{},0
Iowa State/full/RESUME.docx,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David A. Hennessy,Iowa State University,1999,6,0,,{},0
Iowa State/full/Singh Rajesh cv 2024.docx,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Rajesh Singh,Iowa State University,2008,6,0,,{},0
Iowa State/full/VitaJAHMay2019.docx,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arne Hallam,Iowa State University,1988,5,0,,{},0
Iowa State/full/jbvita March 2024.docx,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,Joydeep Bhattacharya,Iowa State University,2003,7,0,,{},0
Iowa State/full/kreider_cv.docx,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,Brent E. Kreider,Iowa State University,2001,7,0,,{},0
Iowa/associate/Frisvold_CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,David E. Frisvold,University of Iowa,2016,10,0,,{},0
Iowa/associate/SuyongSong_CV.docx,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,Suyong Song,University of Iowa,2019,9,0,,{},0
"Iowa/full/David J Cooper resume, 2025.docx",0,0,0,3,4,0,3,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,David J. Cooper,Case Western Reserve University,2003,11,0,,{},0
Iowa/full/NicholasY-CV.docx,0,0,0,1,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,Nicholas C. Yannelis,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Iowa/full/cv_castro.docx,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,Luciano I. de Castro,University of Iowa,2014,10,0,,{},0
Iowa/full/cv_kumar.docx,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,Anil Kumar,University of Iowa,2024,20,0,,{},0
Michigan State/associate/Barnwal_CV_Sep_2025.docx,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Prabhat Barnwal,Michigan State University,2024,9,0,,{},0
Michigan State/associate/CVHanzhe.docx,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,Hanzhe Zhang,Michigan State University,2023,8,0,,{},0
Michigan State/associate/CV_ADM.docx,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Antonio Doblas-Madrid,Michigan State University,2015,10,0,,{},0
Michigan State/associate/CV_bushong.docx,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Benjamin Bushong,Michigan State University,2024,11,0,,{},0
Michigan State/associate/sorenanderson_cv.docx,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Soren T. Anderson,Michigan State University,2015,7,0,,{},0
Michigan State/full/CV Kyoo il Kim.docx,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,Kyoo Il Kim,Michigan State University,2014,8,0,,{},0
Michigan State/full/CV_Eguia.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,Jon X. Eguia,University of Bristol,2013,6,0,,{},0
Michigan State/full/ElderCVcurrent.docx,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Todd E. Elder,Michigan State University,2011,9,0,,{},0
Michigan State/full/HaiderCV.docx,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Steven J. Haider,Michigan State University,2005,7,0,,{},0
Michigan State/full/JeitschkoCVJan2022.docx,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thomas D. Jeitschko,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""all_missing""}",1
Michigan State/full/Mike Conlin - Curriculum Vitae.docx,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,Michael Conlin,Syracuse University,2004,9,0,,{},0
Michigan State/full/Revised-CV-PDF-Edits-0521.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lisa D. Cook,Michigan State University,2013,,1,years_post_phd,"{""years_post_phd"": ""all_missing""}",1
Michigan State/full/Stacy Dickert-Conlin - Curriculum Vitae.docx,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Stacy Dickert-Conlin,Syracuse University,2004,8,0,,{},0
Michigan State/full/WoodburyCV(2025-10).docx,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,Stephen A. Woodbury,Michigan State University,1988,7,0,,{},0
Michigan State/full/Zhu_CV_Sept2025.docx,0,0,0,0,,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,1,0,Susan Chun Zhu,Michigan State University,2007,6,1,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""tie""}",1
Michigan State/full/cv-current-Choi.docx,0,0,0,3,1,0,1,7,0,0,1,2,0,0,0,2,1,0,1,,1,0,0,Jay Pil Choi,Columbia University,1996,6,1,RAND JOURNAL OF ECONOMICS,"{""RAND JOURNAL OF ECONOMICS"": ""insufficient_support""}",1
Michigan State/full/cv_Imberman.docx,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,Scott A. Imberman,Michigan State University,2012,5,0,,{},0
Michigan State/full/cv_ahlin.docx,0,0,0,1,0,0,1,0,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,Michigan State University,2009,8,1,name,"{""name"": ""tie""}",1
Michigan State/full/cv_davidson.docx,0,0,0,0,1,0,1,5,0,0,0,7,2,0,2,3,0,0,0,3,1,0,0,Carl Davidson,Michigan State University,,,2,promotion_year; years_post_phd,"{""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Michigan State/full/cv_galvao.docx,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,"Antonio F. Galvao, Jr.",,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Michigan State/full/cv_matusz.docx,0,0,0,0,1,0,2,2,0,0,0,6,0,0,1,0,0,0,1,0,1,0,0,Steven J. Matusz,Michigan State University,1988,5,0,,{},0
Michigan State/full/cv_mukherjee.docx,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,Arijit Mukherjee,Michigan State University,2014,9,0,,{},0
Michigan State/full/cv_wooldridge.docx,0,0,0,0,2,2,0,1,0,,0,0,0,0,1,0,0,0,1,0,0,2,0,Jeffrey M. Wooldridge,Michigan State University,1991,5,1,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""tie""}",1
Michigan State/full/cvminettidec2025.docx,0,0,0,0,0,0,2,1,0,0,1,3,0,5,0,0,2,0,0,0,0,0,0,Raoul Minetti,Michigan State University,2008,6,0,,{},0
Michigan State/full/papkecv.docx,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,Leslie E. Papke,Michigan State University,1994,7,0,,{},0
Michigan State/full/vita-vogelsang.docx,0,0,0,0,1,5,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,Timothy J. Vogelsang,Cornell University,1999,6,0,,{},0
NCSU Raleigh/associate/CV_Garcia_2024.docx,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Filomena Garcia,Indiana University,2017,11,0,,{},0
NCSU Raleigh/associate/Ilze-Kalnina-CV.docx,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Ilze Kalnina,North Carolina State University,2025,16,0,,{},0
NCSU Raleigh/full/CV_MSMorrill.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Melinda Sandler Morrill,North Carolina State University,2015,7,0,,{},0
NCSU Raleigh/full/CV_Opromolla.docx,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,Luca David Opromolla,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
NCSU Raleigh/full/Canercv.docx,0,0,0,0,0,1,0,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Mehmet Caner,,,,4,INTERNATIONAL ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,"{""INTERNATIONAL ECONOMIC REVIEW"": ""tie"", ""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
NCSU Raleigh/full/DenisPelletier-Vitae.docx,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Denis Pelletier,North Carolina State University,2009,5,0,,{},0
NCSU Raleigh/full/Goodwin-CV-Jan20-2.docx,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Barry K. Goodwin,Kansas State University,1988,0,0,,{},0
NCSU Raleigh/full/LeeCraigCV-April-2023-1.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lee A. Craig,North Carolina State University,1994,5,0,,{},0
NCSU Raleigh/full/Morrill_T-CV_2019Nov.Jan20.docx,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Thayer Morrill,North Carolina State University,2015,7,0,,{},0
NCSU Raleigh/full/Steve-Allen-CV-March-2022.docx,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,Steven G. Allen,North Carolina State University,1983,5,0,,{},0
NCSU Raleigh/full/VITACUR.RLC-August-2025.docx,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Robert L. Clark,North Carolina State University,1979,5,0,,{},0
NCSU Raleigh/full/cv_dur_2024-oct.docx,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,Umut Mert Dur,North Carolina State University,2019,6,0,,{},0
Notre Dame/associate/CV_Bertanha.docx,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,,University of Notre Dame,2024,9,1,name,"{""name"": ""tie""}",1
Notre Dame/associate/CV_Lieber.docx,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,Ethan M.J. Lieber,University of Notre Dame,2020,7,0,,{},0
Notre Dame/associate/Cronin_Chris_cv.10.14.25.docx,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Christopher J. Cronin,University of Notre Dame,2024,10,0,,{},0
Notre Dame/associate/Johnson CV (August 2025).docx,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,Robert C. Johnson,Dartmouth College,2017,9,0,,{},0
Notre Dame/associate/Kirk_Doran_CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,Kirk Bennett Doran,University of Notre Dame,2015,7,0,,{},0
Notre Dame/associate/TarynDinkelmanSept25_CV.docx,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Taryn Dinkelman,Dartmouth College,2017,9,0,,{},0
Notre Dame/associate/cesar_sosa-padilla_CV.docx,0,0,0,0,0,0,1,1,0,0,0,2,0,3,1,0,0,0,0,0,1,0,0,César Sosa-Padilla,University of Notre Dame,2023,11,0,,{},0
Notre Dame/associate/kotowski_cv_jan_2026.docx,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,Maciej H. Kotowski,Harvard University,2015,4,0,,{},0
Notre Dame/associate/pugsley_cv.docx,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Benjamin Wild Pugsley,University of Notre Dame,2022,10,0,,{},0
Notre Dame/associate/stangebye_cv_july25.docx,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Zachary R. Stangebye,University of Notre Dame,2025,10,0,,{},0
Notre Dame/full/CV_CBaumeister.docx,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,Christiane Baumeister,University of Notre Dame,2017,7,0,,{},0
Notre Dame/full/Iyer_CV_2025_July.docx,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,Lakshmi Iyer,University of Notre Dame,2016,13,0,,{},0
Notre Dame/full/Kearney-CV-March2025.docx,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,Melissa Schettini Kearney,University of Maryland,2009,7,0,,{},0
Notre Dame/full/Pries-CV-May-22.docx,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Michael J. Pries,University of Notre Dame,2007,8,0,,{},0
Notre Dame/full/Vita_Gresik.docx,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,4,0,0,0,0,0,0,0,Thomas A. Gresik,The Pennsylvania State University,1991,4,0,,{},0
Notre Dame/full/campbell_cv_jan_2026.docx,0,1,0,0,2,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Jeffrey R. Campbell,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Notre Dame/full/cv-Aug-2024_kali.docx,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,Kali P. Rath,University of Notre Dame,1998,6,0,,{},0
Notre Dame/full/cv_buckles.docx,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Kasey Buckles,University of Notre Dame,2013,8,0,,{},0
Notre Dame/full/cv_enrique_seira_sept_2025.docx,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,Enrique Seira,Instituto Tecnológico Autónomo de México,2017,10,0,,{},0
Notre Dame/full/cv_hungerman.docx,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,1,0,0,3,0,Daniel M. Hungerman,University of Notre Dame,2011,6,0,,{},0
Notre Dame/full/cv_matthes.docx,0,0,2,0,0,0,2,2,0,1,0,0,0,5,0,0,0,2,0,0,1,1,0,Christian Matthes,Indiana University,2019,9,0,,{},0
Notre Dame/full/cv_sims.docx,0,1,2,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,Eric R. Sims,University of Notre Dame,2014,5,0,,{},0
Notre Dame/full/cv_sullivan.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,James X. Sullivan,University of Notre Dame,2009,,1,years_post_phd,"{""years_post_phd"": ""insufficient_support""}",1
Notre Dame/full/kaboskiCV.docx,1,0,2,0,3,1,0,0,2,0,1,0,0,2,0,0,2,0,0,0,3,0,0,Joseph P. Kaboski,Ohio State University,2010,9,0,,{},0
Notre Dame/full/thornton_cv_dec_2025.docx,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,3,0,Rebecca L. Thornton,University of Illinois at Urbana-Champaign,2015,9,0,,{},0
Notre Dame/full/vita_nelson.docx,0,0,1,0,3,0,1,5,0,0,0,5,0,2,0,0,0,0,0,0,1,1,0,Nelson C. Mark,The Ohio State University,1989,6,0,,{},0
Notre Dame/full/vita_wne.docx,0,2,0,0,4,0,0,0,0,1,0,0,2,0,2,,0,0,2,1,0,8,0,William N. Evans,University of Maryland,1994,7,1,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""tie""}",1
Ohio State/associate/Alex Hollingsworth CV.docx,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Alex Hollingsworth,,2021,6,1,promotion_university,"{""promotion_university"": ""tie""}",1
