file,diff_fields,deepseek_values,kimi_values,poe_values
Rice/full/Xun Tang.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS,"{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""6""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""5""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4""}"
Rice/full/cv-2021-12-30.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""3""}"
Rice/full/cv.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Rice/full/cv_ERASLAN.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""6""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""7""}"
Rice/full/newvita.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
Rice/full/vitae.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Rice/full/vivian-ho-cv-05192025.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""University of Alabama Birmingham"", ""promotion_year"": ""2000"", ""years_post_phd"": ""8""}","{""promotion_university"": ""Rice University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""12""}","{""promotion_university"": ""University of Alabama Birmingham"", ""promotion_year"": ""2000"", ""years_post_phd"": ""8""}"
Rutgers/associate/CV_Xiye.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""5""}"
Rutgers/full/CV - Richard McLean.docx,ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; name,"{""ECONOMETRICA"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""name"": ""Richard Patrick. McLean""}","{""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""name"": ""Richard Patrick McLean""}","{""ECONOMETRICA"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""name"": ""Richard Patrick McLean""}"
Rutgers/full/CV-JOSEPH-HUGHES.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1975"", ""years_post_phd"": ""1""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Rutgers/full/CV-September-2025.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF MONETARY ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""7""}"
Rutgers/full/CV.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}"
Rutgers/full/CVOctober2025.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""1"", ""name"": ""John Tomas Sj\u00f6str\u00f6m"", ""promotion_university"": ""Harvard University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""1"", ""name"": ""John Tomas Sj\u00f6str\u00f6m"", ""promotion_university"": ""Harvard University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""4""}"
Rutgers/full/CV_Prusa.docx,JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""7""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""1994"", ""years_post_phd"": ""6""}"
Rutgers/full/IraGangVita.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}"
Rutgers/full/Landon-LaneCV.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""0""}"
Rutgers/full/Moehling CV_August6_2020.docx,ECONOMIC JOURNAL; JOURNAL OF POLITICAL ECONOMY,"{""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}"
Rutgers/full/Piehl.cv.docx,promotion_university,"{""promotion_university"": ""Harvard University""}","{""promotion_university"": ""Harvard University""}","{""promotion_university"": ""John F. Kennedy School of Government, Harvard University""}"
Rutgers/full/Roger_Klein_Selected_CV.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS; name,"{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""name"": ""Roger Klein""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""name"": ""Roger Klein""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""5"", ""name"": """"}"
Rutgers/full/Vitae1.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF MONETARY ECONOMICS; QUANTITATIVE ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMETRICS"": ""6"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""QUANTITATIVE ECONOMICS"": ""1"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""2002"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMETRICS"": ""9"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""QUANTITATIVE ECONOMICS"": ""0"", ""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""12"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""QUANTITATIVE ECONOMICS"": ""1"", ""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""5""}"
Rutgers/full/cv_mizrach.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF MONETARY ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""name"": ""Mizrach"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""name"": ""Bruce Mizrach"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""name"": ""Michael Mizrach"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Rutgers/full/cv_sigman.docx,AMERICAN ECONOMIC REVIEW; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""years_post_phd"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""years_post_phd"": """"}"
Rutgers/full/keister-cv.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS; promotion_university,"{""JOURNAL OF ECONOMIC THEORY"": ""7"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico (ITAM)""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico""}","{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico""}"
SUNY Stony Brook/associate/CV240208.docx,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,"{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}"
SUNY Stony Brook/associate/CVHBS2023.docx,name; promotion_university,"{""name"": ""Hugo A. Ben\u00b4\u0131tez-Silva"", ""promotion_university"": ""State University of New York at Stony Brook""}","{""name"": ""Hugo A. Ben\u00edtez-Silva"", ""promotion_university"": ""State University of New York at Stony Brook""}","{""name"": ""Hugo A. Ben\u00b4\u0131tez-Silva"", ""promotion_university"": ""Stony Brook University""}"
SUNY Stony Brook/associate/CV_ANAGNOSTOPOULOS.docx,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,"{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}"
SUNY Stony Brook/associate/Ting Liu - C.V..docx,name,"{""name"": """"}","{""name"": ""Stony Brook University""}","{""name"": """"}"
SUNY Stony Brook/full/CV Yair Tauman October_2024.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; RAND JOURNAL OF ECONOMICS; promotion_university,"{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""promotion_university"": ""Northwestern University""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""3"", ""promotion_university"": ""Kellogg School of Management, Northwestern University""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""promotion_university"": ""Kellogg School of Management, Northwestern University""}"
SUNY Stony Brook/full/CV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF PUBLIC ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}"
SUNY Stony Brook/full/CVCarceles.docx,INTERNATIONAL ECONOMIC REVIEW,"{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}"
SUNY Stony Brook/full/Mihai Manea CV.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""MIT"", ""promotion_year"": ""2014"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""promotion_university"": ""Stony Brook University"", ""promotion_year"": ""2018"", ""years_post_phd"": ""9""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_university"": ""Massachusetts Institute of Technology"", ""promotion_year"": ""2014"", ""years_post_phd"": ""5""}"
SUNY Stony Brook/full/Sternvita.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""2""}"
SUNY Stony Brook/full/cv-shmaya.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF ECONOMIC THEORY; THEORETICAL ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""THEORETICAL ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""THEORETICAL ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""THEORETICAL ECONOMICS"": ""4""}"
SUNY Stony Brook/full/cvbrusco_2023.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""Universidad Carlos III de Madrid"", ""promotion_year"": ""2000"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""State University of New York at Stony Brook"", ""promotion_year"": ""2003"", ""years_post_phd"": ""10""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_university"": ""Universidad Carlos III de Madrid"", ""promotion_year"": ""2000"", ""years_post_phd"": """"}"
Southern Methodist/associate/cvweb-osang.docx,ECONOMIC JOURNAL,"{""ECONOMIC JOURNAL"": ""1""}","{""ECONOMIC JOURNAL"": ""1""}","{""ECONOMIC JOURNAL"": ""0""}"
Southern Methodist/full/BALKEcvDec2025.docx,JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Southern Methodist/full/CV.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Southern Methodist University"", ""promotion_year"": ""2025"", ""years_post_phd"": ""18""}"
Southern Methodist/full/MillimetCV.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""8"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}"
Southern Methodist/full/cvklaus.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF DEVELOPMENT ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}"
Southern Methodist/full/tsalmon_cv.docx,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""0""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}"
Southern Methodist/full/vita.docx,ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS,"{""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}"
Syracuse/associate/CV (20).docx,promotion_university,"{""promotion_university"": """"}","{""promotion_university"": ""Syracuse University""}","{""promotion_university"": """"}"
Syracuse/associate/Rothenberg_CV.docx,ECONOMIC JOURNAL,"{""ECONOMIC JOURNAL"": ""2""}","{""ECONOMIC JOURNAL"": ""1""}","{""ECONOMIC JOURNAL"": ""2""}"
