file,diff_fields,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Rutgers/full/cv_mizrach.docx,name; promotion_university; promotion_year; years_post_phd,"{""name"": ""Bruce Mizrach"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""name"": ""Bruce Mizrach"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""name"": ""Bruce Mizrach"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}","{""name"": ""Mark S. Mizrach"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}","{""name"": ""Bruce Mizrach"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}"
Rutgers/full/cv_sigman.docx,AMERICAN ECONOMIC REVIEW; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""years_post_phd"": ""9""}"
Rutgers/full/keister-cv.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMIC STUDIES; promotion_university,"{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico""}","{""JOURNAL OF ECONOMIC THEORY"": ""7"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico (ITAM)""}","{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico""}","{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""promotion_university"": ""Instituto Tecnol\u00f3gico Aut\u00f3nomo de M\u00e9xico""}"
Rutgers/full/short-vita.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": ""Rutgers University"", ""promotion_year"": ""2003"", ""years_post_phd"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
SUNY Stony Brook/associate/CV240208.docx,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,"{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}"
SUNY Stony Brook/associate/CVHBS2023.docx,name; promotion_university,"{""name"": ""Hugo A. Ben\u00edtez-Silva"", ""promotion_university"": ""State University of New York at Stony Brook""}","{""name"": ""Hugo A. Ben\u00b4\u0131tez-Silva"", ""promotion_university"": ""State University of New York at Stony Brook""}","{""name"": ""Hugo A. Ben\u00edtez-Silva"", ""promotion_university"": ""State University of New York at Stony Brook""}","{""name"": ""Hugo A. Ben\u00edtez-Silva"", ""promotion_university"": ""Stony Brook University""}","{""name"": ""Hugo A. Ben\u00edtez-Silva"", ""promotion_university"": ""State University of New York at Stony Brook""}"
SUNY Stony Brook/associate/CV_ANAGNOSTOPOULOS.docx,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,"{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}","{""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}"
SUNY Stony Brook/associate/Ting Liu - C.V..docx,name,"{""name"": ""Ting Liu""}","{""name"": """"}","{""name"": ""Ting Liu""}","{""name"": """"}","{""name"": ""Stony Brook University""}"
SUNY Stony Brook/full/CV Yair Tauman October_2024.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; RAND JOURNAL OF ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""RAND JOURNAL OF ECONOMICS"": ""2""}"
SUNY Stony Brook/full/CV.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""years_post_phd"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""years_post_phd"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""years_post_phd"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""years_post_phd"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""years_post_phd"": ""2""}"
SUNY Stony Brook/full/CVCarceles.docx,INTERNATIONAL ECONOMIC REVIEW,"{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2""}"
SUNY Stony Brook/full/Mihai Manea CV.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""Massachusetts Institute of Technology"", ""promotion_year"": ""2014"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""promotion_university"": ""MIT"", ""promotion_year"": ""2014"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""Massachusetts Institute of Technology"", ""promotion_year"": ""2014"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""Massachusetts Institute of Technology"", ""promotion_year"": ""2014"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""promotion_university"": ""Stony Brook University"", ""promotion_year"": ""2018"", ""years_post_phd"": ""9""}"
SUNY Stony Brook/full/Sternvita.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""1""}"
SUNY Stony Brook/full/cv-shmaya.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF ECONOMIC THEORY; THEORETICAL ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""THEORETICAL ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""THEORETICAL ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""THEORETICAL ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""THEORETICAL ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""THEORETICAL ECONOMICS"": ""3""}"
SUNY Stony Brook/full/cvbrusco_2023.docx,JOURNAL OF ECONOMIC THEORY; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""years_post_phd"": ""7""}"
Southern Methodist/associate/Sposi-Michael-CV.docx,ECONOMETRICA,"{""ECONOMETRICA"": ""1""}","{""ECONOMETRICA"": ""0""}","{""ECONOMETRICA"": ""0""}","{""ECONOMETRICA"": ""0""}","{""ECONOMETRICA"": ""0""}"
Southern Methodist/associate/cvweb-osang.docx,ECONOMIC JOURNAL; JOURNAL OF INTERNATIONAL ECONOMICS,"{""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}"
Southern Methodist/full/BALKEcvDec2025.docx,JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Southern Methodist/full/CV.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": ""Southern Methodist University"", ""promotion_year"": ""2025"", ""years_post_phd"": ""18""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": ""Southern Methodist University"", ""promotion_year"": ""2025"", ""years_post_phd"": ""18""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Southern Methodist/full/MillimetCV.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF ECONOMETRICS"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Southern Methodist/full/cvklaus.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1"", ""promotion_university"": ""Universidad Carlos III de Madrid"", ""promotion_year"": ""2006"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""2"", ""promotion_university"": ""Universidad Carlos III de Madrid"", ""promotion_year"": ""2003"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Southern Methodist/full/tsalmon_cv.docx,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}"
Southern Methodist/full/vita.docx,ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS,"{""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}"
Syracuse/associate/CV (20).docx,promotion_university,"{""promotion_university"": ""Syracuse University""}","{""promotion_university"": """"}","{""promotion_university"": ""Syracuse University""}","{""promotion_university"": """"}","{""promotion_university"": """"}"
Syracuse/associate/CV_Deza_september2025_Accessible.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Syracuse/associate/CV_Shifa.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}"
Syracuse/associate/Rothenberg_CV.docx,ECONOMIC JOURNAL,"{""ECONOMIC JOURNAL"": ""2""}","{""ECONOMIC JOURNAL"": ""2""}","{""ECONOMIC JOURNAL"": ""2""}","{""ECONOMIC JOURNAL"": ""2""}","{""ECONOMIC JOURNAL"": ""1""}"
Syracuse/associate/TruskinovskyCV.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Syracuse/associate/derek-laing.docx,AMERICAN ECONOMIC REVIEW; promotion_university,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""Pennsylvania State University""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Penn State University""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""Penn State University""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Penn State University""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Penn State University""}"
Syracuse/full/CV_Nov2025_Mitra.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""7"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2002"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""7"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""8"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""promotion_university"": ""Florida International University"", ""promotion_year"": ""2001"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""8"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""Columbia University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""3""}"
Syracuse/full/Lee-CV.docx,JOURNAL OF ECONOMETRICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMETRICS"": ""4"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2018"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}"
Syracuse/full/badi-h - baltagi.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""24"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""12"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""19"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""18"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""25"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}"
Syracuse/full/engelhardt-cv-and-bio-january-2025.docx,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3""}"
Syracuse/full/horracecv.docx,JOURNAL OF ECONOMETRICS; promotion_university,"{""JOURNAL OF ECONOMETRICS"": ""3"", ""promotion_university"": ""University of Arizona""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""promotion_university"": ""Syracuse University""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""promotion_university"": ""Syracuse University""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""promotion_university"": ""Syracuse University""}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""promotion_university"": ""Syracuse University""}"
Syracuse/full/jan-ondrich.docx,JOURNAL OF LABOR ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; years_post_phd,"{""JOURNAL OF LABOR ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""years_post_phd"": """"}","{""JOURNAL OF LABOR ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5"", ""years_post_phd"": """"}","{""JOURNAL OF LABOR ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""years_post_phd"": """"}","{""JOURNAL OF LABOR ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""years_post_phd"": """"}","{""JOURNAL OF LABOR ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""years_post_phd"": ""5""}"
