file,diff_fields,present_models,missing_models,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Oregon/full/Anne van den Nouweland - CV.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""University of Oregon"", ""promotion_year"": ""2001"", ""years_post_phd"": ""8""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Oregon"", ""promotion_year"": ""2001"", ""years_post_phd"": ""8""}","{""promotion_university"": ""University of Oregon"", ""promotion_year"": ""2001"", ""years_post_phd"": ""8""}","{""promotion_university"": ""University of Oregon"", ""promotion_year"": ""2001"", ""years_post_phd"": ""8""}"
Oregon/full/BenjaminHansenCV2023.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Oregon/full/Harbaugh Vitae.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""University of Oregon"", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""University of Oregon"", ""promotion_year"": ""1995"", ""years_post_phd"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Oregon/full/Vitae_Piger.docx,REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Oregon/full/cv_blonigen.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""13""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""13""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""9""}"
Oregon/full/cv_shankha.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}"
Oregon/full/evans_cv.docx,ECONOMIC JOURNAL; JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS; name,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""name"": """"}","{""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""name"": """"}","{""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""name"": ""gevans""}","{""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""name"": ""G. Evans""}","{""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""name"": """"}"
Oregon/full/lbak-cv.docx,ECONOMIC JOURNAL,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMIC JOURNAL"": ""0""}","{""ECONOMIC JOURNAL"": ""0""}","{""ECONOMIC JOURNAL"": ""0""}","{""ECONOMIC JOURNAL"": ""1""}","{""ECONOMIC JOURNAL"": ""0""}"
Oregon/full/mcgough_vita_2024.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Oregon State University"", ""promotion_year"": ""2006"", ""years_post_phd"": ""6""}","{""promotion_university"": ""Oregon State University"", ""promotion_year"": ""2006"", ""years_post_phd"": ""6""}","{""promotion_university"": ""Oregon State University"", ""promotion_year"": ""2006"", ""years_post_phd"": ""6""}","{""promotion_university"": ""University of Oregon"", ""promotion_year"": ""2012"", ""years_post_phd"": ""12""}","{""promotion_university"": ""Oregon State University"", ""promotion_year"": ""2006"", ""years_post_phd"": ""6""}"
Pittsburgh/associate/Ferrara - CV.docx,REVIEW OF ECONOMIC STUDIES,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""REVIEW OF ECONOMIC STUDIES"": ""0""}"
Pittsburgh/associate/LauraLiu_cv.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Indiana University""}","{""promotion_university"": ""Indiana University""}","{""promotion_university"": ""Indiana University""}","{""promotion_university"": ""University of Pittsburgh""}","{""promotion_university"": ""University of Pittsburgh""}"
Pittsburgh/associate/OSEA_GIUNTELLA_CV_aug25.docx,JOURNAL OF POLITICAL ECONOMY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}"
Pittsburgh/associate/Rania_Gihleb_CV_April2023.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Pittsburgh/associate/cv_Lusher.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""2023"", ""years_post_phd"": ""6""}","{""promotion_university"": ""University of Hawaii at Manoa"", ""promotion_year"": ""2022"", ""years_post_phd"": ""5""}","{""promotion_university"": ""University of Hawaii at Manoa"", ""promotion_year"": ""2022"", ""years_post_phd"": ""5""}","{""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""2023"", ""years_post_phd"": ""6""}","{""promotion_university"": ""University of Hawaii at Manoa"", ""promotion_year"": ""2022"", ""years_post_phd"": ""5""}"
Pittsburgh/full/Alistair_CV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF POLITICAL ECONOMY,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}"
Pittsburgh/full/CVRipoll.docx,JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""JOURNAL OF MONETARY ECONOMICS"": ""5""}"
Pittsburgh/full/CV_Daniele_Coen_Pirani_August_2025.docx,JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""JOURNAL OF MONETARY ECONOMICS"": ""3""}"
Pittsburgh/full/CV_september_2025_Vesterlund.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""6""}"
Pittsburgh/full/VITA_Dejong.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Pittsburgh/full/WangSW-CV.docx,years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""years_post_phd"": ""7""}","{""years_post_phd"": """"}","{""years_post_phd"": ""7""}","{""years_post_phd"": ""7""}","{""years_post_phd"": ""7""}"
Pittsburgh/full/cv_weelden.docx,REVIEW OF ECONOMIC STUDIES,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""REVIEW OF ECONOMIC STUDIES"": ""1""}"
Pittsburgh/full/dmberkcv0425.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""2006"", ""years_post_phd"": ""18""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""2006"", ""years_post_phd"": ""18""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Purdue/associate/BZOU_CV.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Purdue University""}","{""promotion_university"": ""Purdue University""}","{""promotion_university"": ""Purdue University""}","{""promotion_university"": ""Purdue University""}","{""promotion_university"": ""Daniels School of Business, Purdue University""}"
Purdue/associate/Soderbery_CV.docx,REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
Purdue/associate/hedlund_cv.docx,years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""years_post_phd"": ""8""}","{""years_post_phd"": """"}","{""years_post_phd"": ""8""}","{""years_post_phd"": ""8""}","{""years_post_phd"": ""8""}"
Purdue/full/508_JamesBullard_CV.docx,ECONOMIC JOURNAL; JOURNAL OF MONETARY ECONOMICS; name,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""name"": ""Samuel R. Allen""}","{""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""name"": ""Samuel R. Allen""}","{""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""7"", ""name"": ""James Bullard""}","{""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""name"": ""Dr. Samuel R. Allen""}","{""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""name"": ""James Bullard""}"
Purdue/full/B. Roberson Vita F23.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Purdue/full/Bao_CV.docx,JOURNAL OF ECONOMETRICS; QUANTITATIVE ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""3"", ""QUANTITATIVE ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""QUANTITATIVE ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""QUANTITATIVE ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""QUANTITATIVE ECONOMICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""QUANTITATIVE ECONOMICS"": ""0""}"
Purdue/full/CV_Dufwenberg_Aug-2025.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}"
Purdue/full/CasonCV.docx,ECONOMIC JOURNAL; JOURNAL OF POLITICAL ECONOMY; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""1998"", ""years_post_phd"": ""7""}","{""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""1997"", ""years_post_phd"": ""6""}","{""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""1997"", ""years_post_phd"": ""6""}","{""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_university"": ""Purdue University"", ""promotion_year"": ""2000"", ""years_post_phd"": ""9""}","{""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""1997"", ""years_post_phd"": ""6""}"
Purdue/full/ChanCVweb.docx,JOURNAL OF ECONOMETRICS; name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""5"", ""name"": ""Joshua Chan"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""6"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""6"", ""name"": ""Joshua Chan"", ""promotion_university"": ""Australian National University"", ""promotion_year"": ""2015"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""name"": ""Joshua Chan"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""name"": ""Joshua Chan"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Purdue/full/Cv.docx,promotion_university; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Purdue University"", ""years_post_phd"": ""9""}","{""promotion_university"": ""Purdue University"", ""years_post_phd"": """"}","{""promotion_university"": ""Purdue University"", ""years_post_phd"": """"}","{""promotion_university"": ""Purdue University, Krannert School of Management, Dept. of Economics"", ""years_post_phd"": """"}","{""promotion_university"": ""Purdue University"", ""years_post_phd"": """"}"
Purdue/full/Gill_CV.docx,JOURNAL OF POLITICAL ECONOMY; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_university"": ""University of Southampton"", ""promotion_year"": ""2009"", ""years_post_phd"": ""4""}","{""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_university"": ""University of Oxford"", ""promotion_year"": ""2015"", ""years_post_phd"": """"}","{""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_university"": ""University of Southampton"", ""promotion_year"": ""2009"", ""years_post_phd"": ""4""}","{""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""promotion_university"": ""Purdue University"", ""promotion_year"": ""2016"", ""years_post_phd"": ""11""}","{""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_university"": ""University of Oxford"", ""promotion_year"": ""2015"", ""years_post_phd"": ""10""}"
"Purdue/full/Hummels, David L CV 6.22.2023.docx",AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_year"": ""2002"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_year"": ""2002"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_year"": ""2002"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_year"": ""2007"", ""years_post_phd"": ""12""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""promotion_year"": ""2002"", ""years_post_phd"": ""7""}"
Purdue/full/crucinicv.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}"
Purdue/full/cv_chongxiang.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}"
Purdue/full/hedlund_cv.docx,years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""years_post_phd"": ""8""}","{""years_post_phd"": """"}","{""years_post_phd"": ""8""}","{""years_post_phd"": ""8""}","{""years_post_phd"": ""8""}"
Purdue/full/victoria_prowse_cv.docx,JOURNAL OF POLITICAL ECONOMY; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_university"": ""Cornell University""}","{""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""promotion_university"": ""Cornell University""}","{""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_university"": ""Cornell University""}","{""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""promotion_university"": ""Purdue University""}","{""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_university"": ""Cornell University""}"
Rice/associate/Bethune-CV.docx,JOURNAL OF POLITICAL ECONOMY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}"
Rice/associate/Bobkova_CV.docx,THEORETICAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""THEORETICAL ECONOMICS"": ""1""}","{""THEORETICAL ECONOMICS"": ""0""}","{""THEORETICAL ECONOMICS"": ""0""}","{""THEORETICAL ECONOMICS"": ""0""}","{""THEORETICAL ECONOMICS"": ""0""}"
Rice/associate/CV Pouliot Nov2025.pages.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Rice University"", ""promotion_year"": ""2025"", ""years_post_phd"": ""9""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Rice University"", ""promotion_year"": ""2025"", ""years_post_phd"": ""9""}","{""promotion_university"": ""Rice University"", ""promotion_year"": ""2025"", ""years_post_phd"": ""9""}","{""promotion_university"": ""Rice University"", ""promotion_year"": ""2025"", ""years_post_phd"": ""9""}"
Rice/full/CV-George-R.-Zodrow.docx,JOURNAL OF PUBLIC ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3""}"
Rice/full/Cunha_CV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""2""}"
Rice/full/Isabelle Perrigne.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}"
Rice/full/Jim Brown.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""State University of New York at Stony Brook""}","{""promotion_university"": ""SUNY Stony Brook""}","{""promotion_university"": ""State University of New York at Stony Brook""}","{""promotion_university"": ""State University of New York at Stony Brook""}","{""promotion_university"": ""SUNY Stony Brook""}"
Rice/full/KBackCV.docx,ECONOMETRICA; JOURNAL OF ECONOMIC THEORY; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": ""Indiana University""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": ""Indiana University""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": ""Indiana University""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": ""Indiana University""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": ""Northwestern University""}"
